company_name,sector,stage,Amount,location,description,ï»¿Company/Brand,Investor,Year
TheCollegeFever,"Brand Marketing, Event Promotion, Marketing, Sponsorship, Ticketing",Seed,250000.0,Bangalore,"TheCollegeFever is a hub for fun, fiesta and frolic of Colleges.",,Inflection Point Ventures,2018
Happy Cow Dairy,"Agriculture, Farming",Seed,584000.0,Mumbai,A startup which aggregates milk from dairy farmers in rural Maharashtra.,,Inflection Point Ventures,2018
MyLoanCare,"Credit, Financial Services, Lending, Marketplace",Series A,949000.0,Gurgaon,Leading Online Loans Marketplace in India,,Inflection Point Ventures,2018
PayMe India,"Financial Services, FinTech",Angel,2000000.0,Noida,PayMe India is an innovative FinTech organization which offers short term financial suport to corporate employees.,,Inflection Point Ventures,2018
Eunimart,"E-Commerce Platforms, Retail, SaaS",Seed,3000000.0,Hyderabad,Eunimart is a one stop solution for merchants to create a difference by selling globally.,,Inflection Point Ventures,2018
Hasura,"Cloud Infrastructure, PaaS, SaaS",Seed,1600000.0,Bangalore,"Hasura is a platform that allows developers to build, deploy, and host cloud-native applications quickly.",,Inflection Point Ventures,2018
Tripshelf,"Internet, Leisure, Marketplace",Seed,233600.0,Kalkaji,Tripshelf is an online market place for holiday packages.,,Inflection Point Ventures,2018
Hyperdata.IO,Market Research,Angel,730000.0,Hyderabad,Hyperdata combines advanced machine learning with human intelligence.,,Inflection Point Ventures,2018
Freightwalla,"Information Services, Information Technology",Seed,3000000.0,Mumbai,Freightwalla is an international forwarder thats helps you manage supply chain by providing online tools including instant quotations.,,Inflection Point Ventures,2018
Microchip Payments,Mobile Payments,Seed,3000000.0,Bangalore,Microchip payments is a mobile-based payment application and point-of-sale device,,Inflection Point Ventures,2018
BizCrum Infotech Pvt. Ltd.,"B2B, Shoes",Seed,3000000.0,Delhi,Building Transactionary B2B Marketplaces,,Inflection Point Ventures,2018
Emojifi,Internet,Seed,3000000.0,Bangalore,"Emojifi is an app that provides live emoji, stickers & GIFs suggestions based on the typed words across chat platforms.",,Inflection Point Ventures,2018
Flock,"Apps, Collaboration, Developer Platform, Enterprise Software, Messaging, Productivity Tools, Video Chat",Seed,3000000.0,India,Flock is a real-time messaging and collaboration app for teams that speeds up and simplifies communication and boosts productivity.,,Inflection Point Ventures,2018
